,Location,Period,FactValueNumeric,FactValueNumericLow,FactValueNumericHigh
61,South Africa,2023,150000.0,130000.0,170000.0
255,South Africa,2022,150000.0,140000.0,170000.0
455,South Africa,2021,160000.0,140000.0,180000.0
655,South Africa,2020,170000.0,150000.0,190000.0
845,South Africa,2019,180000.0,160000.0,200000.0
1041,South Africa,2018,190000.0,170000.0,220000.0
1243,South Africa,2017,210000.0,190000.0,230000.0
1446,South Africa,2016,230000.0,200000.0,250000.0
1640,South Africa,2015,250000.0,220000.0,270000.0
1834,South Africa,2014,260000.0,230000.0,290000.0
2032,South Africa,2013,270000.0,250000.0,300000.0
2225,South Africa,2012,290000.0,260000.0,320000.0
2419,South Africa,2011,310000.0,280000.0,350000.0
2613,South Africa,2010,340000.0,310000.0,380000.0
2809,South Africa,2009,380000.0,340000.0,420000.0
3007,South Africa,2008,410000.0,370000.0,460000.0
3204,South Africa,2007,440000.0,390000.0,480000.0
3397,South Africa,2006,460000.0,420000.0,510000.0
3595,South Africa,2005,480000.0,440000.0,530000.0
3791,South Africa,2004,500000.0,460000.0,550000.0
3987,South Africa,2003,510000.0,460000.0,560000.0
4182,South Africa,2002,510000.0,470000.0,560000.0
4371,South Africa,2001,520000.0,470000.0,570000.0
4563,South Africa,2000,520000.0,470000.0,570000.0
